author,text,published_at,sentiment
@Peekapoo,"Sharing my heart out, let me know what are your thoughts? Confused. 😕
Not saying we are miserable or anything, we are living our life and very happy with it but the other option is kinda tempting where we feel we would get much better value for money. What are your thoughts?",2023-05-27T15:35:02Z,NEUTRAL
@jacquesrioux9038,"Look, it's quite simple, I have no idea how you make money, but if what you are saying is true, you are broke. Sell your house today, you can't afford it. 

There is nothing extreme about moving, what is extreme and dumb is buying a house you can't pay off. Get out of there and start living in the real world, not in a fantasy.",2025-03-05T21:09:37Z,NEGATIVE
@burhankunda_,"I just watch your this video, i really liked your videos. I also live in Oakville and my advise is dont sell your house. There is a big possibility interest rate going to decrease this year and 1 percent for sure in 2024. So first option is stay here . Option 2 : Rent out oakville and you urself go on rent somwhere else. The benefit is you will keep your house in oakville which will have an excellent price gain while you go to waterloo  on rent and whatever rent you get from oakville house you can get half of rent in two bedroom appartment for only 3 years until rate down and prices up and then you come back. 
Never ever sell your oakville house if you do thsi you will never ever able to buy this. This house is a ticket in long term so use this house as investment property and you urself go on rent

Thank you 

Burhan",2024-02-12T03:42:22Z,POSITIVE
@billjohnson7904,Did you consider bringing in a student boarder for a time?,2023-12-18T18:14:08Z,NEUTRAL
@amittiwari2715,India intrest rate on home loan are 9.5% 😂,2023-10-18T20:28:29Z,NEUTRAL
@nickelsdn7514,"It's not TORONO, It's TORONTO!",2023-10-15T20:38:05Z,NEUTRAL
@aaykay4060,"Talk to your bank and see if you can switch to a fixed rate? My sister switched her variable to a fixed recently. 

When you get a variable rate you need to be prepared to pay more if rates go up. That’s a gamble you take.",2023-09-02T05:08:07Z,NEUTRAL
@aaykay4060,This is the danger of a variable rate. You have to consider rates going up. Fixed rates are generally higher but you have the stability of it not changing for your term.,2023-09-02T04:58:39Z,NEUTRAL
@jesusonXTC,Its all Trudeaus fault,2023-07-19T00:33:21Z,NEGATIVE
@anuverma568,"Lol u could have sit properly to explain your situation 😂moving here n there is looking so irritating, well instead of focusing on quality youtube vdos focus on earning money so that u can have less complaints,instead of complaining cut your dikhawa and shoshabaazi on youtube, itna hi taqleef me ho to y to spend even a single penny on vacations, u think paying cc bil on time is good finance 😂funny…girl u need a strict discipline, take suggestions from someone in your family instead of asking help from them..",2023-07-15T21:04:23Z,NEGATIVE
